t,daylength
1,13.47
2,13.41
3,13.35
4,13.29
5,13.23
6,13.17
7,13.11
8,13.05
9,12.99
10,12.93
11,12.87
12,12.81
13,12.75
14,12.69
15,12.63
16,12.57
17,12.51
18,12.45
19,12.39
20,12.33
21,12.27
22,12.21
23,12.15
24,12.08
25,12.02
26,11.96
27,11.9
28,11.84
29,11.78
30,11.72
31,11.66
32,11.6
33,11.54
34,11.48
35,11.42
36,11.36
37,11.29
38,11.23
39,11.17
40,11.11
41,11.05
42,10.99
43,10.93
44,10.87
45,10.81
46,10.75
47,10.7
48,10.64
49,10.58
50,10.52
51,10.46
52,10.4
53,10.34
54,10.28
55,10.23
56,10.17
57,10.11
58,10.06
59,10
60,9.94
61,9.89
62,9.83
63,9.78
64,9.72
65,9.67
66,9.61
67,9.56
68,9.51
69,9.46
70,9.4
71,9.35
72,9.3
73,9.25
74,9.2
75,9.16
76,9.11
77,9.06
78,9.02
79,8.97
80,8.93
81,8.88
82,8.84
83,8.8
84,8.76
85,8.72
86,8.68
87,8.64
88,8.61
89,8.57
90,8.54
91,8.5
92,8.47
93,8.44
94,8.41
95,8.38
96,8.36
97,8.33
98,8.31
99,8.29
100,8.27
101,8.25
102,8.23
103,8.21
104,8.2
105,8.19
106,8.17
107,8.16
108,8.16
109,8.15
110,8.15
111,8.14
112,8.14
113,8.14
114,8.14
115,8.15
116,8.15
117,8.16
118,8.17
119,8.18
120,8.19
121,8.2
122,8.21
123,8.22
124,8.24
125,8.25
126,8.27
127,8.3
128,8.32
129,8.34
130,8.37
131,8.39
132,8.42
133,8.45
134,8.48
135,8.52
136,8.55
137,8.58
138,8.62
139,8.66
140,8.7
141,8.73
142,8.78
143,8.82
144,8.86
145,8.9
146,8.95
147,8.99
148,9.04
149,9.08
150,9.13
151,9.18
152,9.23
153,9.28
154,9.33
155,9.38
156,9.43
157,9.49
158,9.54
159,9.59
